term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Labour costs structure,labour costs structure,dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,True,header,Labour costs structure
Level of importance,level of importance,dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Level of importance
Motor energy,motor energy,dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Motor energy
Rail network segment (2010),rail network segment (2010),dimension_name,high,Predominantly appears as a descriptive table header.,31,31,31,0,0,0,0,0,0,0,0,0,False,False,header,Rail network segment (2010)
Live animals,live animals,dimension_name,high,Predominantly appears as a descriptive table header.,30,158,28,0,2,0,0,2,0,0,2,0,False,False,cell|header,"Live animals|Standard goods classification for transport statistics (NST 2007, 20 group)"
Price adjustment,price adjustment,dimension_name,high,Predominantly appears as a descriptive table header.,30,30,30,0,0,0,0,0,0,0,0,0,False,True,header,Price adjustment
Rail network Segment (2015),rail network segment (2015),dimension_name,high,Predominantly appears as a descriptive table header.,30,30,30,0,0,0,0,0,0,0,0,0,False,False,header,Rail network Segment (2015)
Type of projection,type of projection,dimension_name,high,Predominantly appears as a descriptive table header.,30,30,30,0,0,0,0,0,0,0,0,0,False,False,header,Type of projection
Applicant type,applicant type,dimension_name,high,Predominantly appears as a descriptive table header.,28,28,28,0,0,0,0,0,0,0,0,0,False,False,header,Applicant type
Expenditure and investment,expenditure and investment,dimension_name,high,Predominantly appears as a descriptive table header.,28,28,28,0,0,0,0,0,0,0,0,0,False,True,header,Expenditure and investment
Fish destination and use,fish destination and use,dimension_name,high,Predominantly appears as a descriptive table header.,28,28,28,0,0,0,0,0,0,0,0,0,False,False,header,Fish destination and use
Rail network segment (2020),rail network segment (2020),dimension_name,high,Predominantly appears as a descriptive table header.,28,28,28,0,0,0,0,0,0,0,0,0,False,False,header,Rail network segment (2020)
Weight,weight,dimension_name,high,Predominantly appears as a descriptive table header.,27,36239,26,0,1,0,1,0,0,1,0,0,False,False,cell|header,Statistical information|Weight
Transport infrastructure,transport infrastructure,dimension_name,high,Predominantly appears as a descriptive table header.,27,27,27,0,0,0,0,0,0,0,0,0,False,False,header,Transport infrastructure
