term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
Dispersion at NUTS level 2,dispersion at nuts level 2,measure,high,Predominantly appears exclusively in statistical measure columns.,4,145,0,0,4,0,4,0,0,4,0,0,False,False,cell,Statistical information
Annual bonuses,annual bonuses,measure,high,Predominantly appears exclusively in statistical measure columns.,3,860,0,0,3,0,2,1,0,2,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Structure of earnings indicator
Gross earnings,gross earnings,measure,high,Predominantly appears exclusively in statistical measure columns.,3,860,0,0,3,0,2,1,0,2,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Structure of earnings indicator
Last online purchase: in the 12 months,last online purchase: in the 12 months,measure,high,Predominantly appears exclusively in statistical measure columns.,3,376,0,0,3,1,2,0,1,2,0,0,False,False,cell,Information society indicator|Unit of measure
At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),at persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,331,0,0,3,0,3,0,0,3,0,0,False,True,cell,Income and living conditions indicator
Persons aged 60 years and over compared to persons aged less than 60 years,persons aged 60 years and over compared to persons aged less than 60 years,measure,high,Predominantly appears exclusively in statistical measure columns.,3,299,0,0,3,0,3,0,0,3,0,0,False,False,cell,Income and living conditions indicator
Median age of population,median age of population,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,264,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Mean age of women at childbirth,mean age of women at childbirth,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,260,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Proportion of population aged 65 years and more,proportion of population aged 65 years and more,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,204,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Persons employed,persons employed,measure,high,Predominantly appears exclusively in statistical measure columns.,3,133,0,0,3,0,3,0,0,3,0,0,False,False,cell,Business trend indicator|Environment indicator
Internet use: doing an online course (of any subject),internet use: doing an online course (of any subject),measure,high,Predominantly appears exclusively in statistical measure columns.,3,117,0,0,3,0,2,1,0,2,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Information society indicator
"Internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)","internet use: participating in social networks (creating user profile, posting messages or other contributions to facebook, twitter, etc.)",measure,high,Predominantly appears exclusively in statistical measure columns.,3,117,0,0,3,0,2,1,0,2,1,0,False,False,cell,Categorisation of active substances for harmonised risk indicator|Information society indicator
Crude birth rate - per thousand persons,crude birth rate - per thousand persons,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,113,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Crude death rate - per thousand persons,crude death rate - per thousand persons,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,113,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Crude rate of natural change of population,crude rate of natural change of population,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,113,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Crude rate of total population change,crude rate of total population change,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,3,112,0,0,3,0,2,1,0,2,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Total general government revenue,total general government revenue,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,36,0,1,3,1,0,2,1,0,2,0,False,True,cell|title,National accounts indicator (ESA 2010)|Unit of measure|title
Total area,total area,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,22,0,2,3,0,0,3,0,0,3,0,False,True,cell|title,Land use|Land use category (km2)|title
Smoothed estimate,smoothed estimate,measure,high,Predominantly appears exclusively in statistical measure columns.,3,17,0,0,3,0,3,0,0,3,0,0,False,False,cell,Statistical information
Crop production,crop production,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,4,1,3,0,0,0,0,0,0,0,0,False,True,header|title,Crop production|title
Annual earnings by economic control enterprises with 10 employed persons or more - NACE Rev. 2 B-S excluding O,annual earnings by economic control enterprises with 10 employed persons or more - nace rev. 2 b-s excluding o,measure,medium,Appears only in residual statistical table titles.,3,3,0,3,0,0,0,0,0,0,0,0,False,False,title,title
Annual earnings by quantiles and contractual working time enterprises with 10 employed persons or more - NACE Rev. 2 B-S excluding O,annual earnings by quantiles and contractual working time enterprises with 10 employed persons or more - nace rev. 2 b-s excluding o,measure,medium,Appears only in residual statistical table titles.,3,3,0,3,0,0,0,0,0,0,0,0,False,False,title,title
Environmental protection investments of total economy,environmental protection investments of total economy,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,3,0,3,0,0,0,0,0,0,0,0,False,True,title,title
Gender pay gap in unadjusted form,gender pay gap in unadjusted form,measure,medium,Appears only in residual statistical table titles.,3,3,0,3,0,0,0,0,0,0,0,0,False,False,title,title
Life expectancy at birth by sex,life expectancy at birth by sex,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,3,0,3,0,0,0,0,0,0,0,0,False,True,title,title
Life satisfaction by sex age educational attainment and domain,life satisfaction by sex age educational attainment and domain,measure,medium,Appears only in residual statistical table titles.,3,3,0,3,0,0,0,0,0,0,0,0,False,False,title,title
Mean annual earnings by NUTS 1 regions enterprises with 10 employees or more - NACE Rev. 2 B-S excluding O,mean annual earnings by nuts 1 regions enterprises with 10 employees or more - nace rev. 2 b-s excluding o,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,3,0,3,0,0,0,0,0,0,0,0,False,True,title,title
Monthly earnings by economic control enterprises with 10 employed persons or more - NACE Rev. 2 B-S excluding O,monthly earnings by economic control enterprises with 10 employed persons or more - nace rev. 2 b-s excluding o,measure,medium,Appears only in residual statistical table titles.,3,3,0,3,0,0,0,0,0,0,0,0,False,False,title,title
Public expenditure on education,public expenditure on education,measure,medium,Matches a measure pattern and appears in a title or mixed statistical context.,3,3,0,3,0,0,0,0,0,0,0,0,False,True,title,title
Long-term unemployment,long-term unemployment,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,222,0,0,2,0,2,0,0,2,0,0,False,True,cell,Employment indicator
Turnover of non-autonomous pension funds - million euro,turnover of non-autonomous pension funds - million euro,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,206,0,0,2,0,1,1,0,1,1,0,True,True,cell,Categorisation of active substances for harmonised risk indicator|Economical indicator for structural business statistics
in-patients (total number),in-patients (total number),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,167,0,0,2,0,2,0,0,2,0,0,False,True,cell,Health indicator
Premature death,premature death,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,152,0,0,2,0,2,0,0,2,0,0,False,True,cell,Health indicator
At risk of poverty threshold (60% of median equivalised income),at risk of poverty threshold (60% of median equivalised income),measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,144,0,0,2,0,2,0,0,2,0,0,False,True,cell,Income and living conditions indicator
Annual value,annual value,measure,high,Predominantly appears exclusively in statistical measure columns.,2,143,0,0,2,0,2,0,0,2,0,0,False,False,cell,Statistical information
Persons in the labour force (former name: active persons),persons in the labour force (former name: active persons),measure,high,Predominantly appears exclusively in statistical measure columns.,2,138,0,0,2,0,2,0,0,2,0,0,False,False,cell,Employment indicator
Jobs created,jobs created,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,112,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Economical indicator for structural business statistics
Persons employed - number,persons employed - number,measure,high,Predominantly appears exclusively in statistical measure columns.,2,108,0,0,2,0,2,0,0,2,0,0,False,False,cell,Economical indicator for structural business statistics
Deaths - number,deaths - number,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,106,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Deaths - total,deaths - total,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,106,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Live births - number,live births - number,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,106,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Live births - total,live births - total,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,106,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Three-year average,three-year average,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,106,0,0,2,1,1,0,1,1,0,0,False,True,cell,Statistical information|Unit of measure
Crude marriage rate,crude marriage rate,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,105,0,1,2,0,1,1,0,1,1,0,False,True,cell|title,Categorisation of active substances for harmonised risk indicator|Demographic indicator|title
Crude rate of net migration plus statistical adjustment,crude rate of net migration plus statistical adjustment,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,104,0,0,2,0,1,1,0,1,1,0,False,True,cell,Categorisation of active substances for harmonised risk indicator|Demographic indicator
Crude divorce rate,crude divorce rate,measure,high,Matches a measure pattern and appears in a statistical-indicator column.,2,103,0,1,2,0,1,1,0,1,1,0,False,True,cell|title,Categorisation of active substances for harmonised risk indicator|Demographic indicator|title
