term,normalized_term,category,confidence,reason,table_count,total_occurrences,header_table_count,title_table_count,cell_table_count,unit_context_table_count,measure_context_table_count,generic_context_table_count,unit_only_table_count,measure_only_table_count,generic_only_table_count,mixed_context_table_count,unit_lexical_match,measure_lexical_match,sources,columns
"Extreme poverty line, urban (national currency)","extreme poverty line, urban (national currency)",unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,0,0,1,0,1,0,0,1,0,0,True,False,cell,Indicator used in Euro_Med
Metre,metre,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,6,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
Paved airport runways longer than 2 438 metres,paved airport runways longer than 2 438 metres,unit,medium,Matches a unit pattern but appears in a mixed context.,1,6,0,0,1,0,0,1,0,0,1,0,True,False,cell,Transport infrastructure
Actual occupation vol. (1 000 m3/d),actual occupation vol. (1 000 m3/d),unit,medium,Matches a unit pattern but appears in a mixed context.,1,5,0,0,1,0,0,1,0,0,1,0,True,False,cell,Plant capacity
Coefficient of variation of volume indices of expenditure per capita (percentage),coefficient of variation of volume indices of expenditure per capita (percentage),unit,medium,Matches a unit pattern but appears in a mixed context.,1,5,0,0,1,0,0,1,0,0,1,0,True,True,cell,National accounts indicator (ESA 2010)
Currency in circulation and overnight deposits (M1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (M2) plus repurchase agreements and money market fund (MMF) shares/units and debt securities up to 2 years,currency in circulation and overnight deposits (m1) plus deposits with an agreed maturity up to 2 years and deposits redeemable at a period of notice up to 3 months (m2) plus repurchase agreements and money market fund (mmf) shares/units and debt securities up to 2 years,unit,medium,Matches a unit pattern but appears in a mixed context.,1,5,0,0,1,0,0,1,0,0,1,0,True,False,cell,Stock or flow
Tonnes of CO2 equivalent,tonnes of co2 equivalent,unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,4,0,0,1,1,0,0,1,0,0,0,True,False,cell,Unit of measure
AAA-rated euro area central government bonds,aaa-rated euro area central government bonds,unit,medium,Matches a unit pattern but appears in a mixed context.,1,3,0,0,1,0,0,1,0,0,1,0,True,True,cell,Bonds
Design capacity BOD (1 000 kg O2/day),design capacity bod (1 000 kg o2/day),unit,medium,Matches a unit pattern but appears in a mixed context.,1,3,0,0,1,0,0,1,0,0,1,0,True,False,cell,Plant capacity
Design capacity vol. (34) (1 000 m3/d),design capacity vol. (34) (1 000 m3/d),unit,medium,Matches a unit pattern but appears in a mixed context.,1,3,0,0,1,0,0,1,0,0,1,0,True,False,cell,Plant capacity
"Million euro, chain-linked volumes, reference year 2010 (at 2010 exchange rates)","million euro, chain-linked volumes, reference year 2010 (at 2010 exchange rates)",unit,high,Matches a unit pattern and appears exclusively in unit columns.,1,3,0,0,1,1,0,0,1,0,0,0,True,True,cell,Unit of measure
Austrian schilling,austrian schilling,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Belgian franc,belgian franc,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Croatian kuna,croatian kuna,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
Cyprus pound,cyprus pound,unit,high,Predominantly appears exclusively in unit columns.,1,2,0,0,1,1,0,0,1,0,0,0,False,False,cell,Currency
